areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,East Midlands,E12000004,2020-08-31,0,26378
region,East Midlands,E12000004,2020-08-30,34,26378
region,East Midlands,E12000004,2020-08-29,41,26344
region,East Midlands,E12000004,2020-08-28,83,26303
region,East Midlands,E12000004,2020-08-27,79,26220
region,East Midlands,E12000004,2020-08-26,89,26141
region,East Midlands,E12000004,2020-08-25,72,26052
region,East Midlands,E12000004,2020-08-24,84,25980
region,East Midlands,E12000004,2020-08-23,52,25896
region,East Midlands,E12000004,2020-08-22,50,25844
region,East Midlands,E12000004,2020-08-21,99,25794
region,East Midlands,E12000004,2020-08-20,100,25695
region,East Midlands,E12000004,2020-08-19,101,25595
region,East Midlands,E12000004,2020-08-18,76,25494
region,East Midlands,E12000004,2020-08-17,137,25418
region,East Midlands,E12000004,2020-08-16,58,25281
region,East Midlands,E12000004,2020-08-15,55,25223
region,East Midlands,E12000004,2020-08-14,87,25168
region,East Midlands,E12000004,2020-08-13,109,25081
region,East Midlands,E12000004,2020-08-12,119,24972
region,East Midlands,E12000004,2020-08-11,176,24853
region,East Midlands,E12000004,2020-08-10,210,24677
region,East Midlands,E12000004,2020-08-09,72,24467
region,East Midlands,E12000004,2020-08-08,72,24395
region,East Midlands,E12000004,2020-08-07,90,24323
region,East Midlands,E12000004,2020-08-06,113,24233
region,East Midlands,E12000004,2020-08-05,115,24120
region,East Midlands,E12000004,2020-08-04,88,24005
region,East Midlands,E12000004,2020-08-03,107,23917
region,East Midlands,E12000004,2020-08-02,53,23810
region,East Midlands,E12000004,2020-08-01,69,23757
region,East Midlands,E12000004,2020-07-31,75,23688
region,East Midlands,E12000004,2020-07-30,109,23613
region,East Midlands,E12000004,2020-07-29,108,23504
region,East Midlands,E12000004,2020-07-28,76,23396
region,East Midlands,E12000004,2020-07-27,92,23320
region,East Midlands,E12000004,2020-07-26,38,23228
region,East Midlands,E12000004,2020-07-25,44,23190
region,East Midlands,E12000004,2020-07-24,81,23146
region,East Midlands,E12000004,2020-07-23,94,23065
region,East Midlands,E12000004,2020-07-22,88,22971
region,East Midlands,E12000004,2020-07-21,68,22883
region,East Midlands,E12000004,2020-07-20,82,22815
region,East Midlands,E12000004,2020-07-19,48,22733
region,East Midlands,E12000004,2020-07-18,63,22685
region,East Midlands,E12000004,2020-07-17,80,22622
region,East Midlands,E12000004,2020-07-16,92,22542
region,East Midlands,E12000004,2020-07-15,113,22450
region,East Midlands,E12000004,2020-07-14,89,22337
region,East Midlands,E12000004,2020-07-13,105,22248
region,East Midlands,E12000004,2020-07-12,46,22143
region,East Midlands,E12000004,2020-07-11,94,22097
region,East Midlands,E12000004,2020-07-10,99,22003
region,East Midlands,E12000004,2020-07-09,95,21904
region,East Midlands,E12000004,2020-07-08,110,21809
region,East Midlands,E12000004,2020-07-07,108,21699
region,East Midlands,E12000004,2020-07-06,139,21591
region,East Midlands,E12000004,2020-07-05,127,21452
region,East Midlands,E12000004,2020-07-04,85,21325
region,East Midlands,E12000004,2020-07-03,108,21240
region,East Midlands,E12000004,2020-07-02,105,21132
region,East Midlands,E12000004,2020-07-01,120,21027
region,East Midlands,E12000004,2020-06-30,129,20907
region,East Midlands,E12000004,2020-06-29,129,20778
region,East Midlands,E12000004,2020-06-28,78,20649
region,East Midlands,E12000004,2020-06-27,87,20571
region,East Midlands,E12000004,2020-06-26,114,20484
region,East Midlands,E12000004,2020-06-25,126,20370
region,East Midlands,E12000004,2020-06-24,173,20244
region,East Midlands,E12000004,2020-06-23,169,20071
region,East Midlands,E12000004,2020-06-22,177,19902
region,East Midlands,E12000004,2020-06-21,131,19725
region,East Midlands,E12000004,2020-06-20,145,19594
region,East Midlands,E12000004,2020-06-19,153,19449
region,East Midlands,E12000004,2020-06-18,169,19296
region,East Midlands,E12000004,2020-06-17,164,19127
region,East Midlands,E12000004,2020-06-16,161,18963
region,East Midlands,E12000004,2020-06-15,165,18802
region,East Midlands,E12000004,2020-06-14,145,18637
region,East Midlands,E12000004,2020-06-13,132,18492
region,East Midlands,E12000004,2020-06-12,174,18360
region,East Midlands,E12000004,2020-06-11,182,18186
region,East Midlands,E12000004,2020-06-10,166,18004
region,East Midlands,E12000004,2020-06-09,177,17838
region,East Midlands,E12000004,2020-06-08,174,17661
region,East Midlands,E12000004,2020-06-07,128,17487
region,East Midlands,E12000004,2020-06-06,105,17359
region,East Midlands,E12000004,2020-06-05,153,17254
region,East Midlands,E12000004,2020-06-04,143,17101
region,East Midlands,E12000004,2020-06-03,171,16958
region,East Midlands,E12000004,2020-06-02,219,16787
region,East Midlands,E12000004,2020-06-01,217,16568
region,East Midlands,E12000004,2020-05-31,149,16351
region,East Midlands,E12000004,2020-05-30,139,16202
region,East Midlands,E12000004,2020-05-29,170,16063
region,East Midlands,E12000004,2020-05-28,191,15893
region,East Midlands,E12000004,2020-05-27,197,15702
region,East Midlands,E12000004,2020-05-26,160,15505
region,East Midlands,E12000004,2020-05-25,192,15345
region,East Midlands,E12000004,2020-05-24,145,15153
region,East Midlands,E12000004,2020-05-23,164,15008
region,East Midlands,E12000004,2020-05-22,240,14844
region,East Midlands,E12000004,2020-05-21,281,14604
region,East Midlands,E12000004,2020-05-20,274,14323
region,East Midlands,E12000004,2020-05-19,293,14049
region,East Midlands,E12000004,2020-05-18,272,13756
region,East Midlands,E12000004,2020-05-17,202,13484
region,East Midlands,E12000004,2020-05-16,257,13282
region,East Midlands,E12000004,2020-05-15,252,13025
region,East Midlands,E12000004,2020-05-14,226,12773
region,East Midlands,E12000004,2020-05-13,298,12547
region,East Midlands,E12000004,2020-05-12,320,12249
region,East Midlands,E12000004,2020-05-11,308,11929
region,East Midlands,E12000004,2020-05-10,198,11621
region,East Midlands,E12000004,2020-05-09,176,11423
region,East Midlands,E12000004,2020-05-08,268,11247
region,East Midlands,E12000004,2020-05-07,313,10979
region,East Midlands,E12000004,2020-05-06,334,10666
region,East Midlands,E12000004,2020-05-05,284,10332
region,East Midlands,E12000004,2020-05-04,235,10048
region,East Midlands,E12000004,2020-05-03,169,9813
region,East Midlands,E12000004,2020-05-02,198,9644
region,East Midlands,E12000004,2020-05-01,294,9446
region,East Midlands,E12000004,2020-04-30,294,9152
region,East Midlands,E12000004,2020-04-29,378,8858
region,East Midlands,E12000004,2020-04-28,272,8480
region,East Midlands,E12000004,2020-04-27,319,8208
region,East Midlands,E12000004,2020-04-26,243,7889
region,East Midlands,E12000004,2020-04-25,245,7646
region,East Midlands,E12000004,2020-04-24,298,7401
region,East Midlands,E12000004,2020-04-23,272,7103
region,East Midlands,E12000004,2020-04-22,334,6831
region,East Midlands,E12000004,2020-04-21,219,6497
region,East Midlands,E12000004,2020-04-20,187,6278
region,East Midlands,E12000004,2020-04-19,246,6091
region,East Midlands,E12000004,2020-04-18,195,5845
region,East Midlands,E12000004,2020-04-17,256,5650
region,East Midlands,E12000004,2020-04-16,267,5394
region,East Midlands,E12000004,2020-04-15,218,5127
region,East Midlands,E12000004,2020-04-14,210,4909
region,East Midlands,E12000004,2020-04-13,172,4699
region,East Midlands,E12000004,2020-04-12,214,4527
region,East Midlands,E12000004,2020-04-11,174,4313
region,East Midlands,E12000004,2020-04-10,173,4139
region,East Midlands,E12000004,2020-04-09,233,3966
region,East Midlands,E12000004,2020-04-08,188,3733
region,East Midlands,E12000004,2020-04-07,227,3545
region,East Midlands,E12000004,2020-04-06,215,3318
region,East Midlands,E12000004,2020-04-05,148,3103
region,East Midlands,E12000004,2020-04-04,189,2955
region,East Midlands,E12000004,2020-04-03,259,2766
region,East Midlands,E12000004,2020-04-02,213,2507
region,East Midlands,E12000004,2020-04-01,296,2294
region,East Midlands,E12000004,2020-03-31,277,1998
region,East Midlands,E12000004,2020-03-30,207,1721
region,East Midlands,E12000004,2020-03-29,129,1514
region,East Midlands,E12000004,2020-03-28,159,1385
region,East Midlands,E12000004,2020-03-27,137,1226
region,East Midlands,E12000004,2020-03-26,154,1089
region,East Midlands,E12000004,2020-03-25,116,935
region,East Midlands,E12000004,2020-03-24,136,819
region,East Midlands,E12000004,2020-03-23,117,683
region,East Midlands,E12000004,2020-03-22,99,566
region,East Midlands,E12000004,2020-03-21,69,467
region,East Midlands,E12000004,2020-03-20,53,398
region,East Midlands,E12000004,2020-03-19,66,345
region,East Midlands,E12000004,2020-03-18,49,279
region,East Midlands,E12000004,2020-03-17,33,230
region,East Midlands,E12000004,2020-03-16,34,197
region,East Midlands,E12000004,2020-03-15,26,163
region,East Midlands,E12000004,2020-03-14,19,137
region,East Midlands,E12000004,2020-03-13,22,118
region,East Midlands,E12000004,2020-03-12,18,96
region,East Midlands,E12000004,2020-03-11,25,78
region,East Midlands,E12000004,2020-03-10,12,53
region,East Midlands,E12000004,2020-03-09,10,41
region,East Midlands,E12000004,2020-03-08,1,31
region,East Midlands,E12000004,2020-03-07,4,30
region,East Midlands,E12000004,2020-03-06,7,26
region,East Midlands,E12000004,2020-03-05,3,19
region,East Midlands,E12000004,2020-03-04,2,16
region,East Midlands,E12000004,2020-03-03,7,14
region,East Midlands,E12000004,2020-03-02,2,7
region,East Midlands,E12000004,2020-03-01,1,5
region,East Midlands,E12000004,2020-02-29,1,4
region,East Midlands,E12000004,2020-02-28,1,3
region,East Midlands,E12000004,2020-02-27,0,2
region,East Midlands,E12000004,2020-02-26,0,2
region,East Midlands,E12000004,2020-02-25,1,2
region,East Midlands,E12000004,2020-02-24,0,1
region,East Midlands,E12000004,2020-02-23,0,1
region,East Midlands,E12000004,2020-02-22,0,1
region,East Midlands,E12000004,2020-02-21,1,1
