date,ESP_date_index,ESP_d_l_cum_cases
2020-03-04,1,0.32016752759626943
2020-03-05,2,0.19592720884973325
2020-03-06,3,0.4566833246023654
2020-03-07,4,0.1773161834548853
2020-03-08,5,0.3159525063900359
2020-03-09,6,0.5405197302732088
2020-03-10,7,0.4930118848992411
2020-03-11,8,0.2746599382613102
2020-03-12,9,0.3287394995805393
2020-03-13,10,0.3551823050836802
2020-03-14,11,0.3124732149185192
2020-03-15,12,0.2980385858913248
2020-03-16,13,0.17023573883239962
2020-03-17,14,0.19616781404834605
2020-03-18,15,0.2046237510336102
2020-03-19,16,0.2232674909921979
2020-03-20,17,0.15281256911467445
2020-03-21,18,0.2212044932288748
2020-03-22,19,0.13652858171914062
2020-03-23,20,0.14677051697032795
2020-03-24,21,0.18148500234141451
2020-03-25,22,0.18235306625467373
