date,SWE_date_index,SWE_d_l_cum_cases
2020-03-05,1,0.3914788661334243
2020-03-06,2,0.6499750086947369
2020-03-07,3,0.20533892668070308
2020-03-08,4,0.21472498084861336
2020-03-09,5,0.3908663086870119
2020-03-10,6,0.2502245099168805
2020-03-11,7,0.3594700162704294
2020-03-12,8,0.22775103775688255
2020-03-13,9,0.2040083108839683
2020-03-14,10,0.08508718936495896
2020-03-15,11,0.0793906046181494
2020-03-16,12,0.08079509654357953
2020-03-17,13,0.11255479129185364
2020-03-18,14,0.11491153332436
2020-03-19,15,0.09589820373424107
2020-03-20,16,0.12104355370631659
2020-03-21,17,0.07468650847301195
2020-03-22,18,0.06144566585156852
2020-03-23,19,0.08793687451057242
2020-03-24,20,0.10109611687136866
2020-03-25,21,0.12297207621005946
2020-03-26,22,0.1025098760360823
2020-03-27,23,0.11492424665189738
2020-03-28,24,0.08547341126589458
2020-03-29,25,0.07367876247820959
2020-03-30,26,0.10032502779190011
2020-03-31,27,0.10345415634051847
2020-04-01,28,0.09581792289723268
2020-04-02,29,0.09908026078020349
2020-04-03,30,0.09742857896366885
2020-04-04,31,0.0536769202456604
2020-04-05,32,0.04857403915072567
2020-04-06,33,0.05282607529100325
