date,UK_date_index,UK_d_l_cum_cases
2020-03-05,1,0.2015932047526663
2020-03-06,2,0.24854434340709108
2020-03-07,3,0.1302898987003509
2020-03-08,4,0.13282091302092436
2020-03-09,5,0.2764249179271463
2020-03-10,6,0.34318817858664996
2020-03-11,7,0.37786779009037197
2020-03-12,8,0.3166171833112328
2020-03-13,9,0.2247465439096663
2020-03-14,10,0.15270046394892756
2020-03-15,11,0.1617165912118539
2020-03-16,12,0.1891210001828787
2020-03-17,13,0.19387125207322775
2020-03-18,14,0.21170141182960833
2020-03-19,15,0.1766050983646501
2020-03-20,16,0.17123332741264186
2020-03-21,17,0.14220926193603667
2020-03-22,18,0.1448650001338656
2020-03-23,19,0.20203774967368382
2020-03-24,20,0.1691011682848913
2020-03-25,21,0.15919423310279512
2020-03-26,22,0.15612274606149334
2020-03-27,23,0.13565944174935396
2020-03-28,24,0.11018876273070966
2020-03-29,25,0.1018811254907046
2020-03-30,26,0.12966358346687912
2020-03-31,27,0.12200653164228115
2020-04-01,28,0.11795458055868124
2020-04-02,29,0.10398452741266162
2020-04-03,30,0.09411404723309325
2020-04-04,31,0.07228166161354643
2020-04-05,32,0.06207925523027491
2020-04-06,33,0.08039025411503076
