date,USA_date_index,USA_d_l_cum_cases
2020-03-06,1,-0.5133540701193491
2020-03-07,2,1.254569653720317
2020-03-09,3,0.5497685977145981
2020-03-10,4,-0.23889190828234863
2020-03-11,5,0.5512665933245007
2020-03-12,6,-0.09759938339845853
2020-03-13,7,0.8663234045317081
2020-03-14,8,0.004231318019762398
2020-03-15,9,0.7348414194764645
2020-03-16,10,0.17424538266248746
2020-03-17,11,0.17986129817221297
2020-03-18,12,0.6711156381067589
2020-03-19,13,0.43778618092257204
2020-03-20,14,-0.6259845364850989
2020-03-21,15,1.1186737224286372
2020-03-22,16,-0.5506799425544049
2020-03-23,17,1.1313059417193223
2020-03-24,18,-0.9375396920602572
2020-03-25,19,1.3694386767171984
2020-03-26,20,-0.5063892614545651
2020-03-27,21,0.14481089790875679
2020-03-28,22,0.7105378499514767
2020-03-29,23,-0.5376985944067432
2020-03-30,24,1.021025108863304
2020-03-31,25,-0.6529088286351126
2020-04-01,26,0.9629696765333406
2020-04-02,27,-0.12236076259847017
2020-04-03,28,0.3435010690508431
2020-04-04,29,-0.6137517141456446
2020-04-05,30,-0.7827091425862669
2020-04-06,31,1.6783968416912032
